"id_isolato";"id_combustibile";"id_profilo";"mese";"anno";"versione";"consumo"
943;305;1;1;2007;c;305964.075556764
943;305;1;2;2007;c;287198.492728893
943;305;1;3;2007;c;272282.852538404
943;305;1;5;2007;c;116224.451699942
943;305;1;6;2007;c;0
943;305;1;7;2007;c;0
943;305;1;9;2007;c;0
943;305;1;10;2007;c;34281.994145843
943;305;1;11;2007;c;103554.950295049
943;305;1;12;2007;c;141131.059297106
943;305;4;1;2007;c;18277.4159356668
943;305;4;3;2007;c;34052.8968854188
943;305;4;4;2007;c;15129.206069831
943;305;4;5;2007;c;14057.0245465406
943;305;4;6;2007;c;12840.7546413822
943;305;4;7;2007;c;11774.3997931581
943;305;4;8;2007;c;11626.6042488891
943;305;4;9;2007;c;12824.8625877722
943;305;4;10;2007;c;14483.9893906174
943;305;4;11;2007;c;15955.5912482794
943;305;4;12;2007;c;17784.7623810437
945;305;1;1;2007;c;219604.554580969
945;305;1;2;2007;c;206135.62869198
945;305;1;3;2007;c;195429.984526528
945;305;1;5;2007;c;83419.659319605
945;305;1;6;2007;c;0
945;305;1;7;2007;c;0
945;305;1;9;2007;c;0
945;305;1;10;2007;c;24605.7712522153
945;305;1;11;2007;c;74326.1727469689
945;305;1;12;2007;c;101296.282441274
945;305;4;1;2007;c;14561.2776960404
945;305;4;3;2007;c;27129.3102727719
945;305;4;4;2007;c;12053.1573871737
945;305;4;5;2007;c;11198.9702878513
945;305;4;6;2007;c;10229.9906517427
945;305;4;7;2007;c;9380.44555619075
945;305;4;8;2007;c;9262.69959199572
945;305;4;9;2007;c;10217.3297478935
945;305;4;10;2007;c;11539.1252464588
945;305;4;11;2007;c;12711.5231052617
945;305;4;12;2007;c;14168.7897621848
947;305;1;1;2007;c;3190.88399764042
947;305;1;2;2007;c;2995.17867556008
947;305;1;3;2007;c;2839.62421214216
947;305;1;5;2007;c;1212.09897727053
947;305;1;6;2007;c;0
947;305;1;7;2007;c;0
947;305;1;9;2007;c;0
947;305;1;10;2007;c;357.525197453708
947;305;1;11;2007;c;1079.96938258727
947;305;1;12;2007;c;1471.84873865242
947;305;4;1;2007;c;534.151824926295
947;305;4;3;2007;c;995.185374092093
947;305;4;4;2007;c;442.146365784467
947;305;4;5;2007;c;410.812192543914
947;305;4;6;2007;c;375.267080930214
947;305;4;7;2007;c;344.103190465461
947;305;4;8;2007;c;339.783911418294
947;305;4;9;2007;c;374.802640581128
