GLOBAL,,,,,,,,,,,,BDS,BDG,BGL,BAL,BAM,DAY,FRA,FYB,GHA,GHO,HEL,HER,JOW,KAB,KAN,KAP,KHO,KNR,KDZ,LAG,LOW,NAN,NIM,NUR,PIA,PKA,PAN,PAR,SAM,SAR,TAK,ORU,WAR,ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>by Level of Education,2007,,EMIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Lower Secondary Male ,,,%,,,,,,82.44796501,31.11962246,98.16242198,83.28736309,60.11611212,53.92086084,35.67000791,39.57519699,74.43913323,55.41097908,37.78135637,61.35774648,66.63046256,,36.73109195,112.5766588,83.96726331,80.14192505,64.37626794,90.77630563,104.0439129,78.1735773,33.34776023,42.5,69.00572704,49.22509225,89.98170174,117.3672443,42.61466136,35.88170998,67.67026466,52.4349246,93.68444252,20.82777036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Lower Secondary Female ,,,%,,,,,,60.40097211,5.325858444,38.76801994,51.08546304,23.10111103,27.35598344,14.31056652,13.16997277,35.8456472,6.565064478,4.078886506,48.57346797,24.98738011,,4.22376323,37.50517941,4.846526656,18.74625198,29.57532559,19.67985267,22.95703083,15.04410443,14.3702243,12.58123213,3.42550952,1.513134851,23.1697271,30.65299818,15.80589591,9.081448592,35.53964449,1.17686244,7.003695688,0.943997959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Lower Secondary Total ,,,%,,,,,,72.10491305,19.0576755,70.47689776,68.24121893,42.65084075,41.56621791,25.72133169,27.20947177,56.38870901,32.553097,22.09807451,55.32151106,47.06799011,,21.58853804,76.9888339,47.0508794,51.47883937,48.02381346,57.61634966,65.92981487,48.69959726,24.47568564,28.47569148,38.34616014,26.91992795,58.75998121,76.36234575,30.09994396,23.37283855,52.61229927,28.65897621,53.08683033,11.56474713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Higher Secondary Male ,,,%,,,,,,33.89760986,7.022235807,48.85537447,37.10319241,21.30301339,7.822726817,14.97310441,13.82860642,31.53991334,12.08646513,9.044815178,24.3390684,28.78863588,,9.64311114,60.2824609,33.17984476,32.65464602,30.00089358,40.74987786,44.87459402,35.48948585,12.98042059,12.65693057,21.43896278,11.31803189,46.8187933,52.05061938,15.82497797,7.333785617,31.69333518,15.17493024,41.2544418,4.400248602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Higher Secondary Female ,,,%,,,,,,18.37184493,1.39703346,10.13869854,21.9348076,4.302406562,1.696052654,2.538326213,3.579582167,10.26949684,0.834621329,1.504214595,19.32806324,11.79524038,,0.918644815,9.077323066,0.603801714,4.952587072,7.84307674,2.018044169,1.801291904,4.877418916,8.897379913,0.316637881,0.519784952,0.131885182,3.812792272,6.208862527,4.730668168,0.899031812,12.49455041,0,0.657685,0.127154563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gross Enrolment - Higher Secondary Total ,,,%,,,,,,26.57911988,4.379532472,30.7240486,29.98238011,13.24333248,4.959937293,9.153990905,9.006525881,21.54483527,6.796116505,5.519388622,21.96206022,20.768158,,5.559950471,35.89533561,17.90893525,19.66021582,19.54081737,22.59996398,24.5349731,21.13027751,11.06268427,6.845601193,11.61316183,6.063697981,26.62660047,30.27430967,10.62149241,4.31649492,22.65382161,8.102223241,22.15083423,2.400317397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>by Gender,2007,,EMIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Primary Male,,,%,,,,,,79.56531584,51.51506657,76.8642161,82.81236281,57.77447995,64.99695482,58.57389988,73.5320547,64.24275739,58.20889515,54.88172559,93.95728305,78.93220916,,59.64970532,80.25646828,125.0368011,91.17491338,69.94977467,85.98811967,81.66975015,92.24060277,118.5970202,58.0748261,82.72602583,78.35501109,57.0621146,74.05315253,62.69666759,53.32487183,72.81643173,64.92540251,77.53424044,104.7195622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
